v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
0.8,0.0,0.5,0.2,0.7777777777777777,0.0,0.5555555555555556,0.2,0.3333333333333333,0.7777777777777777,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.6666666666666666
0.9,0.0,0.25,0.2,0.7777777777777777,0.1111111111111111,0.4444444444444444,0.2,0.4444444444444444,0.6666666666666666,0.2857142857142857,0.2222222222222222,0.0,0.4444444444444444,0.5555555555555556
0.9,0.0,0.25,0.2,0.7777777777777777,0.0,0.4444444444444444,0.4,0.4444444444444444,0.3333333333333333,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222
0.2,0.0,0.5,0.4000000000000001,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4,0.4444444444444444,0.5555555555555556,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
0.975,0.0,0.75,0.2,1.0,0.1111111111111111,0.4444444444444444,0.2,0.4444444444444444,0.7777777777777777,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.4444444444444444
0.55,0.0,0.25,0.0,0.4444444444444445,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.2222222222222222
0.9500000000000001,0.1111111111111111,0.5,0.2,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.0,0.5555555555555556,0.7777777777777777,0.2857142857142857,0.0,0.0,0.3333333333333333,0.6666666666666666
0.8,0.0,0.25,0.4000000000000001,0.7777777777777777,0.0,0.7777777777777777,0.0,0.2222222222222222,0.7777777777777777,0.2857142857142857,0.0,0.0,0.5555555555555556,0.4444444444444444
0.8,0.0,0.25,0.6000000000000001,0.7777777777777777,0.0,0.1111111111111111,0.6000000000000001,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.25,0.1111111111111111,0.5,0.4000000000000001,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.0,0.2222222222222222,0.7777777777777777,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6666666666666666
0.225,0.0,0.75,0.4000000000000001,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.2,0.4444444444444444,0.7777777777777777,0.14285714285714285,0.2222222222222222,0.0,0.3333333333333333,0.6666666666666666
0.2,0.0,0.5,0.4000000000000001,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.4,0.4444444444444444,0.7777777777777777,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556
0.8,0.0,0.25,0.4000000000000001,0.7777777777777777,0.1111111111111111,0.4444444444444444,0.2,0.4444444444444444,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333
1.0000000000000002,0.0,0.5,0.4000000000000001,1.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.7777777777777777,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.5555555555555556
0.55,0.0,0.0,0.2,0.4444444444444445,0.0,0.6666666666666666,0.2,0.2222222222222222,0.1111111111111111,0.2857142857142857,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.1111111111111111
0.8,0.0,0.25,0.4000000000000001,0.7777777777777777,0.0,0.7777777777777777,0.0,0.2222222222222222,0.7777777777777777,0.2857142857142857,0.0,0.0,0.5555555555555556,0.4444444444444444
0.925,0.0,0.25,0.4000000000000001,0.8888888888888888,0.0,0.6666666666666666,0.0,0.3333333333333333,0.7777777777777777,0.0,0.2222222222222222,0.0,0.6666666666666666,0.3333333333333333
